sanguine	["chromatic_color.n.01", "red.n.01"]
arccosine	["trigonometric_function.n.01", "function.n.01"]
smoothbore	["firearm.n.01", "gun.n.01"]
arthrodesis	["operation.n.06", "arthroplasty.n.01"]
sarsenet	["silk.n.01", "fabric.n.01"]
eutrophication	["process.n.06", "organic_process.n.01"]
noseband	["leather_strip.n.01", "strap.n.01"]
comicality	["quality.n.01", "humor.n.04"]
fanjet	["airplane.n.01", "jet.n.01"]
fanjet	["reaction-propulsion_engine.n.01", "jet_engine.n.01"]
posturer	["organism.n.01", "causal_agent.n.01", "person.n.01"]
bathymeter	["measuring_instrument.n.01", "instrument.n.01"]
supremacism	["content.n.05", "belief.n.01"]
satinet	["artifact.n.01", "fabric.n.01"]
trandolapril	["antihypertensive.n.01", "ace_inhibitor.n.01"]
iproclozide	["monoamine_oxidase_inhibitor.n.01", "antidepressant.n.01"]
ovaritis	["symptom.n.01", "inflammation.n.01"]
schlepper	["simpleton.n.01", "person.n.01"]
sizzle	["noise.n.01", "sound.n.04"]
heterometaboly	["organic_process.n.01", "metamorphosis.n.01"]
religionism	["attitude.n.01", "intolerance.n.02"]
religionism	["piety.n.01", "devoutness.n.01"]
filmdom	["industry.n.01", "film_industry.n.01"]
contextualism	["belief.n.01", "doctrine.n.01"]
ornamentalism	["activity.n.01", "practice.n.01"]
didanosine	["antiviral.n.01", "medicine.n.02"]
fumigator	["worker.n.01", "skilled_worker.n.01"]
fumigator	["device.n.01", "instrumentality.n.03"]
fallboard	["protective_covering.n.01", "covering.n.02"]
ununtrium	["substance.n.01", "chemical_element.n.01"]
eigenvalue	["numerical_quantity.n.01", "value.n.01"]
poor	["group.n.01", "people.n.01"]
pockmark	["symptom.n.01", "scar.n.01"]
phytochemist	["chemist.n.01", "scientist.n.01"]
creosol	["organic_compound.n.01", "phenol.n.01"]
recombinant	["organism.n.01", "living_thing.n.01", "cell.n.02"]
hypotensive	["case.n.06", "patient.n.01", "sick_person.n.01"]
heartbreaker	["charmer.n.02", "person.n.01"]
heartbreaker	["failure.n.02", "defeat.n.01", "ending.n.04"]
corkboard	["building_material.n.01", "insulating_material.n.01"]
dialectology	["linguistics.n.02", "humanistic_discipline.n.01"]
imperium	["region.n.03", "domain.n.02"]
imperium	["control.n.01", "authority.n.01"]
courante	["dancing.n.01", "diversion.n.01", "performing_arts.n.01"]
prognathism	["state.n.02", "condition.n.01"]
dideoxycytosine	["antiviral.n.01", "medicine.n.02"]
shnorrer	["moocher.n.01", "beggar.n.01"]
brewpub	["brewery.n.01", "plant.n.01"]
brewpub	["restaurant.n.01", "building.n.01"]
nationhood	["state.n.02", "attribute.n.02"]
snootiness	["quality.n.01", "attribute.n.02"]
hostile	["military_personnel.n.01", "force.n.04"]
rancidity	["unsoundness.n.01", "decay.n.04"]
hotfoot	["antic.n.01", "practical_joke.n.01"]
reorder	["order.n.07", "commercial_document.n.01"]
rich	["group.n.01", "people.n.01"]
drusen	["eye_disease.n.01", "disease.n.01"]
prosciutto	["ham.n.01", "cut_of_pork.n.01"]
substring	["sequence.n.01", "string.n.05"]
homoiotherm	["organism.n.01", "animal.n.01"]
seaborgium	["substance.n.01", "chemical_element.n.01"]
bookbindery	["workplace.n.01", "workshop.n.01"]
dandyism	["demeanor.n.01", "manner.n.02"]
expositor	["person.n.01", "intellectual.n.01"]
jillion	["indefinite_quantity.n.01", "large_indefinite_quantity.n.01"]
salutatory	["oratory.n.01", "address.n.03"]
kittee	["persecution.n.01", "torture.n.05"]
seaward	["position.n.07", "direction.n.02"]
doctorspeak	["jargon.n.03", "expressive_style.n.01"]
shlepper	["simpleton.n.01", "person.n.01"]
myotic	["drug.n.01", "agent.n.03"]
zalcitabine	["antiviral.n.01", "medicine.n.02"]
amaretto	["liqueur.n.01", "alcohol.n.01"]
cuckoldom	["marital_status.n.01", "marriage.n.01"]
married	["organism.n.01", "causal_agent.n.01", "person.n.01"]
labiodental	["consonant.n.01", "phone.n.02"]
sportscast	["newscast.n.01", "news.n.02", "broadcast.n.01"]
dubnium	["substance.n.01", "chemical_element.n.01"]
incognizance	["higher_cognitive_process.n.01", "knowing.n.01"]
brachycephaly	["quality.n.01", "attribute.n.02"]
assessee	["organism.n.01", "causal_agent.n.01", "person.n.01"]
baronetage	["elite.n.01", "nobility.n.01"]
baronetage	["position.n.06", "occupation.n.01"]
polynya	["thing.n.12", "body_of_water.n.01"]
separationism	["group_action.n.01", "separation.n.05"]
psychogenesis	["organic_process.n.01", "growth.n.01"]
bucksaw	["saw.n.02", "hand_tool.n.01"]
guideword	["language_unit.n.01", "word.n.01"]
abjurer	["organism.n.01", "causal_agent.n.01", "person.n.01"]
homotherm	["organism.n.01", "animal.n.01"]
biryani	["dish.n.02", "nutriment.n.01"]
kbit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
dolichocephalism	["quality.n.01", "attribute.n.02"]
cowtown	["municipality.n.01", "town.n.01"]
carbineer	["soldier.n.01", "rifleman.n.02"]
habitableness	["fitness.n.01", "suitability.n.01"]
subwoofer	["electro-acoustic_transducer.n.01", "loudspeaker.n.01"]
groundlessness	["quality.n.01", "worthlessness.n.01"]
tetryl	["explosive.n.01", "chemical.n.01"]
thorniness	["texture.n.01", "roughness.n.01"]
thorniness	["disposition.n.01", "disagreeableness.n.02"]
dieter	["organism.n.01", "causal_agent.n.01", "person.n.01"]
assenter	["respondent.n.02", "communicator.n.01"]
vroom	["happening.n.01", "sound.n.04"]
wasabi	["vascular_plant.n.01", "herb.n.01"]
wasabi	["flavorer.n.01", "condiment.n.01"]
offside	["nonaccomplishment.n.01", "mistake.n.01"]
spininess	["texture.n.01", "roughness.n.01"]
purism	["demand.n.01", "insistence.n.01"]
satinette	["artifact.n.01", "fabric.n.01"]
coprolite	["droppings.n.01", "fecal_matter.n.01"]
dyslectic	["organism.n.01", "causal_agent.n.01", "person.n.01"]
catheterization	["operation.n.06", "medical_procedure.n.01"]
forensics	["investigation.n.02", "police_work.n.01"]
sudatory	["medicine.n.02", "drug.n.01"]
sudatory	["house.n.12", "bathhouse.n.02"]
ununpentium	["substance.n.01", "chemical_element.n.01"]
obsessive	["sick_person.n.01", "neurotic.n.01"]
toolhouse	["shed.n.01", "outbuilding.n.01"]
heliometer	["measuring_instrument.n.01", "instrument.n.01"]
greyhen	["black_grouse.n.01", "grouse.n.02"]
historiography	["literature.n.03", "writing.n.02"]
historiography	["verbal_creation.n.01", "writing.n.01"]
trinketry	["collection.n.01", "group.n.01"]
bristliness	["texture.n.01", "roughness.n.01"]
episome	["deoxyribonucleic_acid.n.01", "polymer.n.01"]
totalitarian	["disciple.n.01", "follower.n.01"]
thermogram	["graph.n.01", "visual_communication.n.01"]
balminess	["good_weather.n.01", "mildness.n.01"]
episcopacy	["group.n.01", "people.n.01"]
interrupt	["electricity.n.02", "signal.n.03"]
toxicognath	["fang.n.02", "extremity.n.01"]
haptoglobin	["protein.n.01", "macromolecule.n.01"]
marginalia	["note.n.01", "written_record.n.01"]
equatorial	["telescope.n.01", "magnifier.n.01"]
cutin	["material.n.01", "plant_material.n.01"]
arctangent	["trigonometric_function.n.01", "function.n.01"]
razbliuto	["sentiment.n.01", "feeling.n.01"]
arcsine	["trigonometric_function.n.01", "function.n.01"]
turnbuckle	["mechanical_device.n.01", "coupling.n.02"]
bellicoseness	["aggressiveness.n.03", "disagreeableness.n.02"]
postdiluvian	["organism.n.01", "living_thing.n.01"]
semasiology	["semantics.n.01", "linguistics.n.01"]
mebibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
bong	["happening.n.01", "sound.n.04"]
barracouta	["fish.n.01", "food_fish.n.01"]
